X,Y,OBJECTID,Process_ID,Project,County,Quad,Col_Date,Mvmnt_Date,SM_State,SM_Rate_1,SM_Mat_1,SM_Type_1,SM_Rate_2,SM_Mat_2,SM_Type_2,Slp_Config,Fatalities,Confidence,MapMethod,GlobalID,SHAPE
247254.806159965,201984.371109273,57873,63,Geohazards,Haywood,Clyde,2004/02/09,,,,Debris,Slide,,,,Embankment - Not road related,,,,{8F00B977-A199-4772-AB51-1E1A70F66CAE},
247823.830739782,201523.108743362,57874,64,Geohazards,Haywood,Clyde,2004/07/22,,,,Weathered rock,Slide - translational,,,,Cut slope - Not road related,,,,{CE3102DE-93CB-4B74-A652-CDA1F17526A3},
203477.202776323,199977.361323819,57875,65,Geohazards,Swain,Bryson City,2004/05/03,2003/05,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{DDCACC1E-A113-40DF-8B21-A95CFCB4DC2C},
203526.5691,200460.8387,57876,66,Geohazards,Swain,Bryson City,2004/05/03,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{696E9029-8623-43E8-9C48-52B49F5E44D6},
237864.781730618,205212.847447749,57877,67,Geohazards,Haywood,Dellwood,2004/05/06,1997,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Embankment - Not road related,,,,{C4847396-32B8-43E5-BE42-6DCA3A1AED52},
309606.524300002,225251.915600002,57878,68,Blue Ridge Parkway,Buncombe,Montreat,2004/05/12,1995/10/04-05,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{A6312A34-7BD9-4531-9B7B-9AAE65925F41},
309903.8178,224923.396499999,57879,69,Blue Ridge Parkway,Buncombe,Montreat,2004/05/12,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{6F97B6F9-0657-4E45-9D55-259520BB2965},
314757.110836917,208018.026077094,57880,71,Geohazards,McDowell,Black Mountain,2004/05/20,2003/11/01,,,Weathered rock,Slide - translational,,,,Road cut,,,,{B6F6CB5B-BEAE-443B-A203-CE202638A767},
216563.390900001,200095.242600001,57881,72,Geohazards,Swain,Whittier,2004/06/15,2003/05/06-07,,,Weathered rock,Slide,,,,Road cut,,,,{509BB958-E252-46FC-8D2C-B45AA8D6A2C3},
262468.477499999,240390.4355,57882,73,Geohazards,Madison,Spring Creek,2004/06/14,2004/06/12,,,Weathered rock,Slide - translational,,,,Road cut,,,,{CB6D5B42-E971-4E87-9246-E65BAEC99FA4},
207009.864799999,187887.241,57883,74,Geohazards,Swain,Alarka,2004/06/22,,,,Debris,Subsidence,,,,Road embankment,,,,{AC3FAE9B-BE54-419A-A2B4-8097B5E86F96},
207710.908377534,187199.587478487,57884,43,Geohazards,Swain,Alarka,2004/06/17,2003/05/05-06,,,Debris,Slide,,,,Road cut,,,,{B37E4005-EA8A-4100-AECA-911A20AE4B68},
206895.269960835,186945.13171885,57885,44,Geohazards,Swain,Alarka,2004/06/22,2003/05/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{D733C206-A0C9-4EB8-9E7B-9EFD9E53950E},
206862.1737126,187269.249491199,57886,45,Geohazards,Swain,Alarka,2004/06/22,2003/05/05-06,,,Debris,Slide,,,,Road embankment,,,,{3747CE86-C156-44BA-9DC6-908EAA266B76},
239142.89302558,202286.193797678,57887,46,Geohazards,Haywood,Dellwood,2003/12/11,2003/12/11,Inactive,Extremely rapid (>5 m/sec),Debris,Slide,Extremely rapid (>5 m/sec),Debris,Flow,Road embankment,1,,,{9851163C-EA30-4204-B033-FF7E31D75350},
598935.900516968,256840.420509388,57888,47,Geohazards,Orange,Hillsborough,2001/02/21,2001/02/18,,,Rock,Slide - translational,,,,Cut slope - Not road related,,,,{0E7DA67B-2C13-42B5-A999-6D6EE14E69AC},
234540.330399998,203311.103999998,57889,48,Geohazards,Haywood,Bunches Bald,2004/04/28,2003/05/06-07,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{0871A2E1-6748-4E7E-802A-C511D39D346F},
264027.215999998,204829.967,57890,702,Landslide Hazard Mapping,Haywood,Canton,1985/12/25,1984,,,Weathered rock,Slide - translational,,,,Road cut,,,,{FE9E0B08-1BEA-4F26-99CC-0887E0E7462F},
246116.528399996,200090.032400001,57891,703,Landslide Hazard Mapping,Haywood,Hazelwood,1989/02/18,1985,,,Weathered rock,Slide - translational,,,,Road cut,,,,{EC4188DF-EFB2-46ED-93D1-720886B51DE6},
244039.337475701,229796.809122253,57892,704,Landslide Hazard Mapping,Haywood,Waterville,1985/03/05,1985/03/05,,,Rock,Slide,,,,Road cut,,,,{30FE1E45-4B50-4716-A2D2-7767B47B55A5},
221534.505099997,220187.9749,57893,1202,Landslide Hazard Mapping,Swain,Mount Guyot,,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{DA3149C9-C93C-49D1-BB33-540A246E4F61},
222235.182300001,221514.688299999,57894,1203,Landslide Hazard Mapping,Swain,Mount Guyot,,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{D4E25C7A-BEAF-471B-B6A9-0EC050372DBA},
196002.810800001,186123.613200001,57895,75,Geohazards,Swain,Wesser,2004/06/30,,,Extremely rapid (>5 m/sec),Debris,Slide,,,,Embankment - Not road related,,,,{6C1291CD-0255-4C34-83FD-249EB95876AE},
195535.513599999,185692.645988957,57896,76,Geohazards,Swain,Wesser,2004/06/30,2003/05/06-07,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{F0C61260-C302-446D-A25D-D0CF4A026A5B},
382110.669405058,261280.384328468,57897,77,Geohazards,Caldwell,Buffalo Cove,2004/07/23,2004/06/18,,,Rock,Slide - translational,,,,Road cut,,,,{52526DA3-74DB-42D0-916D-392111DC5A4D},
352354.2918,267318.075199999,57898,645,Landslide Hazard Mapping,Avery,Valle Crucis,,2004/09/16-17,,,Debris,Slide,,,,Road embankment,,,,{BDA09F16-D9A5-491C-90E3-626B11923421},
332450.288000002,244724.9005,57899,646,Landslide Hazard Mapping,Mitchell,Spruce Pine,2005/06/20,,,,Debris,Slide,,,,Cut slope - Not road related,,,,{E2E5FA95-32A0-4D53-ABBB-F976C87DC249},
332480.924699999,244722.842399999,57900,647,Landslide Hazard Mapping,Mitchell,Spruce Pine,2005/06/20,,,,Rock,Slide,,,,Cut slope - Not road related,,,,{E1EFFE90-E024-469B-874E-E2DB81559789},
332524.942153122,244730.986234279,57901,648,Landslide Hazard Mapping,Mitchell,Spruce Pine,2005/06/20,,,,Debris,Slide,,,,Cut slope - Not road related,,,,{C8BCB6F9-7B86-4F3A-8E69-09C1D6993E19},
223744.629100002,158262.438099999,57902,586,Geohazards,Macon,Highlands,,,,,,,,,,Road embankment,,,,{74515B0B-A957-44B3-8018-CA2069125E40},
226210.530599996,160424.742699999,57903,587,Landslide Hazard Mapping,Macon,Highlands,2006/04/27,,,,Debris,Slide,,,,Road cut,,,,{D6D40E3F-5E6C-4559-86A9-F2344EC8071E},
226360.329599999,160493.889899999,57904,588,Landslide Hazard Mapping,Macon,Highlands,2006/04/27,,,,Debris,Slide,Extremely rapid (>5 m/sec),Debris,Flow,Road embankment,,,,{BB1DB688-4AE3-483A-BF69-BE4508776382},
244459.0559,179760.6952,57905,589,Geohazards,Jackson,Tuckasegee,,,,,,,,,,Road embankment,,,,{EF55BFE0-2473-4F44-9D0B-888534B96326},
250641.547600001,177569.697999999,57906,590,Geohazards,Jackson,Sam Knob,,,,,,,,,, ,,,,{4D9387F0-2F29-4B46-B2B9-096E0233F6B7},
237069.537199996,186323.693100002,57907,591,Geohazards,Jackson,Tuckasegee,,,,,,,,,, ,,,,{770F8817-568B-47F9-BEB4-A79F2F0F3A2B},
223925.308799997,150019.7075,57908,592,Geohazards,Macon,Highlands,,,,,,,,,, ,,,,{C2A93FD5-E04F-48C1-8FD3-40D0D2B84C77},
269934.956900001,180335.237,57909,202203160511,Geohazards,Transylvania,Pisgah Forest,2022/03/16,1996,,,Debris,Flow,Extremely rapid (>5 m/sec),Debris,Flow,Unmodified,,8,Air photo,{E53FE818-0AEB-4D83-87F8-F6B6875B5AB9},
263323.247737393,176830.170318548,57910,50,Geohazards,Transylvania,Shining Rock,,1994/08/17,,,Debris,Slide,Extremely rapid (>5 m/sec),Debris,Flow,Road embankment,,,,{DB77E6F5-6B8F-4CC7-A040-ABE170FC738A},
382241.457999997,258868.754500002,57911,78,Geohazards,Caldwell,Buffalo Cove,2004/07/23,,,,Rock,Slide - translational,,,,Road cut,,,,{6BA060D3-C7A4-4453-AC8A-B7E334175350},
225455.807899997,205420.8543,57912,510,Blue Ridge Parkway,Swain,Bunches Bald,2005/01/26,,,,Debris,Slide,,Rock,Fall,Road cut,,,,{DA49A7C5-1784-452C-8340-BE674B4055BF},
275138.453299999,197994.27,57913,388,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{43CEDE15-37B9-48A2-85E8-5B886F37F7EE},
277000.372000001,196806.5075,57914,390,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{48038266-95E8-48FD-B3B5-CAFEC7BF26B2},
278342.997299999,199955.242400002,57915,391,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{B302CC0F-DD60-4F32-B2DE-BD5E02BEE767},
252730.159177867,156054.894345565,57916,399,Landslide Hazard Mapping,Transylvania,Reid,2000/07,1916/08/13,Active,Very slow (>16 mm/yr),Weathered rock,Slide - translational,,,,Unmodified,0,8,Field work and other,{A6282E94-CECB-4E74-9653-902359019DF0},
232461.075836357,203405.245765647,57917,515,Blue Ridge Parkway,Haywood,Bunches Bald,2005/01/26,,,,Rock,Fall,,,,Road cut,,,,{A6B5C8DB-6597-4CDF-A4D6-BF965E1FBFB3},
239986.602899998,173514.536200002,57918,517,Geohazards,Jackson,Big Ridge,2005/02/01,2004/09/16-17,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Embankment - Not road related,,,,{B7560DC8-2CD7-4A60-921C-38A7904545B7},
382241.457999997,258868.754500002,57919,79,Geohazards,Caldwell,Buffalo Cove,2004/07/23,,,,Debris,Slide,,,,Road embankment,,,,{250BE697-FC2A-44A3-BD5B-1A3F1CA4CE7F},
595235.781599998,264584.849399999,57920,90,State Map,Orange,Cedar Grove,,,,,Rock,Slide - translational,,,,Unmodified,,,,{7ED1C253-A80D-4045-9263-B03D2FE29BE5},
277183.502700001,197102.916200001,57921,330,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{6268007A-6B58-4F6D-89DF-5C3483D4EF6D},
274690.545400001,198180.661899999,57922,332,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road unspecified,,,,{1C111B23-80B9-4138-8008-C9FB586F6B02},
274831.793200001,198221.0341,57923,333,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road unspecified,,,,{7E58D8FB-1C8F-4F4A-AC8A-146871CB1D2E},
275046.8957,198294.076299999,57924,334,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{C70EE88A-49AE-4B2B-B7B2-78F8F2FBCC34},
274221.723800004,197117.8497,57925,335,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{281858E0-C280-415B-991C-5B0DE53D4C41},
274868.799699999,197675.362300001,57926,336,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{3D7CD3AC-E65D-4FC2-B89A-F4AC4926CFD2},
244297.4186,202678.472199999,57927,491,Geohazards,Haywood,Dellwood,2005/01/19,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{B8E06988-DBEB-4CC6-8C2A-222704B1E36C},
239475.641999997,194588.284699999,57928,492,Geohazards,Haywood,Hazelwood,2005/01/19,1980,,,Weathered rock,Slide - translational,,,,Road cut,,,,{DEC2D8D1-575B-4C32-977D-A6A4FEE58D32},
371171.495499998,273313.089000002,57929,493,Geohazards,Watauga,Boone,,1984,,,Debris,Slide,,,,Road cut,,,,{0796F67D-D2E5-4BB6-B34F-F59D65B5F282},
614424.217500001,211994.120900001,57930,495,Geohazards,Wake,New Hill,1999/09/09,1997/02,,,Weathered rock,Slide,,,,Road cut,,,,{D23926B3-9A88-4CB4-9496-D2C9B34CAAD2},
653511.729099996,95839.999299999,57931,496,Geohazards,Bladen,Elizabethtown South,1998/09/24,,,,Earth,Slide - rotational,,,,Unmodified,,,,{7C4ADF4D-E647-49E3-85EC-F65106616357},
656603.645999998,90264.676800001,57932,497,Geohazards,Bladen,Singlertary Lake,1998/09/24,,,,Earth,Slide,,,,Unmodified,,,,{D089D549-7E57-4362-937B-8BA5FD5E734E},
221076.467500001,204631.803599998,57933,498,Blue Ridge Parkway,Swain,Smokemont,2005/01/26,,,,Rock,Slide - translational,,,,Road cut,,,,{54723D23-25B7-4F6F-81EC-1D52C90E0C22},
221213.300700001,204352.7348,57934,499,Blue Ridge Parkway,Swain,Smokemont,2005/01/26,,,,Rock,Fall,,,,Road cut,,,,{594EB703-8A37-4989-912D-D185675B4676},
213846.604599997,149098.024300002,57935,1285,Landslide Hazard Mapping,Macon,Scaly Mountain,2006/02/14,2004/09/06-17,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{2D9F6E34-0E15-450A-A795-2F3C39D6CDF8},
213691.384400003,150623.755800001,57936,1286,Landslide Hazard Mapping,Macon,Scaly Mountain,2006/02/15,2004/09/06-17,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{84592726-2B96-4013-8942-2831DD74FE2E},
213664.230884979,150614.318846947,57937,1287,Landslide Hazard Mapping,Macon,Scaly Mountain,2006/02/15,2004/09/06-17,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{1736CFBD-C587-4702-A5C0-1A732089B1B1},
214291.327500001,151290.377599999,57938,1288,Landslide Hazard Mapping,Macon,Scaly Mountain,2006/02/15,2004/09/06-17,,,Earth,Slide,,,,Stream bank,,,,{4F13B3CA-5547-4BC7-9827-07AE5AFD9D70},
216924.763999999,153555.137200002,57939,1289,Landslide Hazard Mapping,Macon,Scaly Mountain,2006/02/16,2004/09/06-17,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{2C4C4A8F-5E95-475D-A424-CE7BDFE9E9AE},
197936.331900001,164355.523899999,57940,1290,Landslide Hazard Mapping,Macon,Wayah Bald,2006/02/24,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{D1F7ECCF-0FBA-4AD0-871A-8253315B3E1B},
344372.560149366,247572.108275385,57941,649,Landslide Hazard Mapping,McDowell,Linville Falls,2005/06/20,2005/06/13,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road cut,,,,{22D328BC-5FBC-4D96-9DD1-4EC6E5283F17},
318626.112300001,202637.203299999,57942,650,Landslide Hazard Mapping,Buncombe,Moffitt Hill,1990/06/05,1990,,,Earth,Slide,,,,Road cut,,,,{8AE25A50-98BA-41CA-943A-113608FFEBA1},
271123.093599997,245825.0123,57943,651,Landslide Hazard Mapping,Madison,White Rock,1986/09,,,,Earth,Slide - rotational,,,,Road embankment,,,,{9FCACD44-BEA4-4F00-ADEF-20F3E2E2E7FF},
233630.848800004,165304.6138,57944,570,Geohazards,Jackson,Glenville,2005/02/24,2004/09/16-17,,,Weathered rock,Slide - rotational,,,,Cut slope - Not road related,,,,{1F403C48-F892-4280-B684-54A07EA4DB32},
195038.672842177,166353.862526484,57945,571,Geohazards,Macon,Wayah Bald,2005/03/03,2004/09/16-17,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{B846BE44-4D55-49E1-8A93-DE8306A6308A},
244408.672123039,202770.364594724,57946,490,Geohazards,Haywood,Dellwood,2005/01/19,2004/09/06-17,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{1FBBC764-1644-456D-B5E8-EA66ACF30A28},
223795.629000001,204214.9619,57947,505,Blue Ridge Parkway,Swain,Smokemont,2005/01/26,,,,Rock,Fall,,,,Road cut,,,,{9230C481-B177-4F49-9936-F8DA8B533E25},
297772.001599997,209321.451299999,57948,573,State Map,Buncombe,Oteen,2005/02/25,,,,Debris,Slide,,,,Embankment - Not road related,,,,{D2EDBD68-A995-49E0-B9B1-5CE28D8578F4},
298048.144599997,209361.830200002,57949,574,State Map,Buncombe,Oteen,2005/02/25,,,,Debris,Slide,,,,Embankment - Not road related,,,,{AB483B6E-606A-48A2-882A-CCF3DBC6BB8F},
234454.410800003,157379.8572,57950,575,Geohazards,Jackson,Cashiers,,,,,,,,,,Road embankment,,,,{62F05E83-2036-4FED-9260-00EB95ACC82A},
243959.938000001,168061.426600002,57951,576,Geohazards,Jackson,Big Ridge,,,,,,,,,, ,,,,{20929B88-94DF-46EC-AB34-D0F98A86731E},
243707.081799999,170569.6468,57952,577,Geohazards,Jackson,Big Ridge,,,,,,,,,, ,,,,{69F1C7C9-327E-41BB-8E02-3CF2357444F7},
225050.358900003,205321.589299999,57953,508,Blue Ridge Parkway,Swain,Bunches Bald,2005/01/26,,,,Weathered rock,Slide,,,,Road cut,,,,{F9ADB1EE-22D4-4692-9777-FCD3E5B832DC},
248678.936300002,174656.0035,57954,578,Geohazards,Jackson,Sam Knob,,,,,,,,,, ,,,,{D0819918-861F-4B48-A7AA-ECE35D4B769A},
243259.448600002,149472.8818,57955,579,Geohazards,Jackson,Cashiers,2006/01/24,2004/09/16-17,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Embankment - Not road related,,,,{7DA42708-B7E0-4AAD-A793-93945C0405CD},
198029.565499999,166722.077300001,57956,580,Landslide Hazard Mapping,Macon,Wayah Bald,2006/01/12,,,,Debris,Slide,,,,Unmodified,,,,{55FBD925-B8F3-49BA-8E38-75BA18496BEB},
217675.527000003,152781.995099999,57957,581,Geohazards,Macon,Scaly Mountain,,2004/09/06-17,,,,,,,,Road embankment,,,,{39CA911F-64DA-4939-9990-0BF6BB09681D},
217524.829828805,153012.9629536,57958,582,Geohazards,Macon,Scaly Mountain,2015/01/26,2004/09/06-17,,,,,,,,Road embankment,,,,{253CBC61-EE95-40A6-B9EB-F0FB850F9FFF},
212702.221799999,147685.816300001,57959,583,Geohazards,Macon,Scaly Mountain,2006/02/15,2004/09/06-17,,,Weathered rock,Slide,,,,Road unspecified,,,,{033F3959-C557-4D8F-A325-93D3C68ABCE1},
228937.318999998,148022.205400001,57960,584,Geohazards,Macon,Highlands,2006/02/15,2004/09/06-17,,,Earth,Slide - rotational,,,,Road embankment,,,,{9360C328-B815-4329-8025-AD190DC82869},
225606.142700002,158522.935899999,57961,585,Geohazards,Macon,Highlands,,,,,,,,,, ,,,,{F1F4A789-6908-4827-AB3E-8F873EFF581D},
264121.155199997,184121.714899998,57962,542,Blue Ridge Parkway,Transylvania,Shining Rock,2005/10/25,,,,Debris,Subsidence,,,,Road embankment,,,,{63145ABC-CE38-4D57-A326-E4D354EFA014},
270057.140600003,213245.291499998,57963,544,Landslide Hazard Mapping,Buncombe,Enka,2008/02/29,,,,Debris,Slide - translational,,,,Road cut,,,,{637BF43D-2D2C-4853-9153-D4720CD703A8},
248685.542400002,183988.1461,57964,552,Blue Ridge Parkway,Haywood,Sam Knob,2007/04/25,,,,Weathered rock,Slide - translational,,,,Road cut,,,,{65FEB403-F2ED-4719-A8AF-5ACD30EFA4BE},
248512.189300001,184815.5392,57965,563,Blue Ridge Parkway,Haywood,Sam Knob,2007/04/25,,,,Weathered rock,Slide - translational,,,,Road cut,,,,{C1A486DC-DD6C-48DB-9FDE-7406284A94EE},
275505.967399999,198476.9595,57966,337,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{FCE99EE3-8C6D-4798-8627-5256DBD33DE2},
275525.265299998,198595.692899998,57967,338,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,,Debris,Slide,,,,Unmodified,,,,{976DDA2E-2D7B-45C1-8F2C-457EC81DAFB6},
275999.318599999,198842.986699998,57968,339,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{A2984A60-D71F-44CD-A495-402E346E35CF},
275804.451700002,199055.473499998,57969,340,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{898FB9FF-3067-41AF-AFF5-258A581EC423},
276250.692299999,198746.306899998,57970,341,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{24DCD034-A328-474D-9738-C987F7154D2A},
280718.0044,193465.979499999,57971,397,Geohazards,Buncombe,Skyland,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{2BA9E80D-1602-4B23-878D-401F94B3E81A},
277152.242899999,199524.0174,57972,342,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{5D3E12A0-2A1F-440B-9820-7E099B20C6A9},
277205.434,199403.2698,57973,343,Geohazards,Buncombe,Dunsmore Mountain,,1977/11/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{146E6F67-BBB2-42EA-AE23-CB49159E0BF7},
